"X","Y","G_obs","p_value","Coef_b11"
"Eledone_cirrhosa_adu","Mullus_barbatus_adu",-0.02,0.518,-0.12
"Helicolenus_dactylopterus_juv","Mullus_barbatus_adu",-0.03,0.739,0.03
"Pagellus_acarne","Mullus_barbatus_adu",-0.03,0.775,-0.04
"Pagellus_bogaraveo","Mullus_barbatus_adu",-0.03,0.656,0.04
"Zeus_faber","Mullus_barbatus_adu",-0.03,0.714,0.04
"Eledone_cirrhosa_juv","Mullus_barbatus_adu",-0.03,0.695,0.05
"Phycis_blennoides_adu","Mullus_barbatus_adu",-0.03,0.801,-0.05
"Octopus_vulgaris","Mullus_barbatus_adu",-0.03,0.795,0.05
"Lophius_budegassa_adu","Mullus_barbatus_adu",-0.03,0.733,-0.06
"Helicolenus_dactylopterus_adu","Mullus_barbatus_adu",-0.03,0.723,-0.07
"Merluccius_merluccius_adu","Mullus_barbatus_adu",-0.03,0.691,-0.08
"Mullus_surmuletus","Mullus_barbatus_adu",-0.03,0.659,-0.08
"Sardina_pilchardus","Mullus_barbatus_adu",-0.03,0.415,-0.13
"Loligo_vulgaris","Mullus_barbatus_adu",-0.04,0.972,0
"Micromesistius_poutassou","Mullus_barbatus_adu",-0.04,0.971,0
"Trachurus_mediterraneus_adu","Mullus_barbatus_adu",-0.04,0.902,0.01
"Nephrops_norvegicus_juv","Mullus_barbatus_adu",-0.04,0.832,-0.02
"Phycis_blennoides_juv","Mullus_barbatus_adu",-0.04,0.861,-0.02
"Trachurus_trachurus_juv","Mullus_barbatus_adu",-0.04,0.802,0.02
"Trisopterus_capelanus_juv","Mullus_barbatus_adu",-0.04,0.874,-0.02
"Solea_solea","Mullus_barbatus_adu",-0.04,0.865,-0.02
"Trisopterus_capelanus_adu","Mullus_barbatus_adu",-0.04,0.819,-0.05
